Name,Role,Company
Vishal Talwar,"Senior Managing Director- Global Growth & Offerings Lead, Accenture Technology",Accenture
Volker Tjaden,Manager Solution Architects,Databricks
Vuong Nguyen,Senior Solutions Architect,Databricks
Wanmei Ou,"VP of Product, Life Science and Data Analytics",McKesson Ontada
Wassym Bensaid,"Sr. Vice President, Software Development",Rivian
Wes Smith,Data & AI Specialist for VA,Microsoft
Weston Hutchins,Senior Staff Product Manager,Databricks
Will Girten,Sr. Specialist Solutions Architect,Databricks
William Zanine,"Head of Data Management, Channel and Specialty, US Information Management",IQVIA
Willy Lulciuc,Sr. Software Engineer,Astronomer
Xiao Li,Engineering Director,Databricks
Xiaotong Sun,Staff Software Engineer,Databricks
Xue Yang,Solution Architect,Databricks
Xuefu Wang,Sr. Data Scientist,The Trade Desk
Yali Sassoon,CPO,Snowplow
Yang You,Presidential Young Professor,National University of Singapore
Yaniv Kunda,Senior Software Architect,Akamai
Yaron Singer,CEO & Co-Founder,Robust Intelligence
Yeshwanth Vijayakumar,Sr Engineering Manager/Architect,Adobe
Young Bang,"Principal Deputy Assistant Secretary of the Army for Acquisition, Logistics and Technology",U.S. Army
Yu Gong,Staff Engineeer,Databricks
Yue Zhang,Staff Software Engineer,Block
Yuki Saito,Technical Evangelist,NTT DATA Corporation
Zachary Huang,PhD,Columbia University
Zachary Bannor,Data Engineering Manager,Condé Nast
Zaf Babin,VP Product Development,ADP
Zaheera Valani,Senior Director of Engineering,Databricks
Zeashan Pappa,Product Leader - Data Governance,Databricks
Zhenyu Zhao,Director of Data Science,Tencent
Zoe Lin,Senior Software Engineer,Airbnb
Zoe Durand,Senior Product Manager,Databricks
