Name,Role,Company
Derek Sugden,Ad Measurement Lead – Measurement & Attribution,Effectv
Derek Slager,CTO,Amperity
Derrick Olson,IT Data Science Manager,JetBlue
Devlina Das,Senior Software Engineer,Instacart
Deylo Woo,Data Engineer Architect,Providence Health Services
Diane Woodbridge,"Chair, Associate Professor","MS in Data Science, University of San Francisco"
Dilip Biswal,Senior Architect,Adobe
Dillon Bostwick,Solutions Architect,Databricks
Dipankar Mazumdar,Developer Advocate,Dremio
Don Vu,Chief Data Officer,Northwestern Mutual
Don Scott,"VP, New Product Development",Hitachi Solutions America
Don Bosco Durai,Cofounder and CTO,Privacera
Donghwa Kim,Sr. Director of IT Architecture,"Ontada, a McKesson Company"
Douglas Moore,Lead Specialist Solutions Architect,Databricks
Edward Chiu,CEO,Catalyst
Egor Gryaznov,CTO and Co-founder,Bigeye
Ellen Sulcs,"Director, Data Products & Engineering",T-Mobile
Ellie Hajarian,Snr IT Manager,TD Bank
Elliot Shmukler,Co-Founder & CEO,Anomalo
Emad Mostaque,CEO,stability.ai
Emmanuel Ameisen,,Anthropic
Eric Michielli,"Senior Director, Data and Weather Technology",AccuWeather
Eric Schmidt,"Former CEO and Chairman, Google; Co-Founder",Schmidt Futures
Eric Peter,Sr Staff Product Manager,Databricks
Erika Ehrli,Senior Director of Product Marketing,Databricks
Erin Boelkens,VP of Product,LiveRamp
Erni Durdevic,Specialist Solutions Architect (Geospatial),Databricks
Fabian Jakobs,Sr Staff Software Engineer,Databricks
Fabien Cochet,IT Expert on Data and Analytics,Michelin
Fabio Luis Correia da Silva,Architecture Specialist,Bradesco
Fahad Khan,"Head of Product Management, CVML and Data Platform",Blue River Technology
Faraz Yasrobi,Software Engineer,Grammarly
Francesco Pizzolon,"Director, Analytics Architect",Avanade UK LTD
Francisco Rius,Head of Data Science and Data Engineering,Minecraft at Microsoft
Franco Patano,Lead Product Specialist,Databricks
Frank Munz,Principal Technical Marketing Engineer,Databricks
Ganesh Deivarayan,Sr Manager,American Airlines
Ganesh Chand,Lead Specialist Solutions Architect,Databricks
Gary Jones,Chief Data Engineer,S&P Global Sustainable1
Gaurav Saraf,Product Manager,Databricks
Gavin Edgley,"Global Leader, Value Acceleration",Databricks
Gavita Regunath,Principal Data Scientist,Advancing Analytics
Gengliang Wang,Software Engineer,Databricks
Geoffrey Freeman,Solutions Architect,T-Mobile
George Webster,Chief Security Architect,HSBC
Gerard Sola,Data Engineering Tech Lead,Zurich Insurance Group
Gidon Gershinsky,Lead Systems Architect,Apple
Gilad Asulin,Big Data Engineer Team Leader,"Akamai Technologies, Inc"
Graziano Belmonte,Global IT AI & Data Director,Barilla
Greg Nelson,VP of Data Operations,Highmark Health
Greg Kroleski,Product Management,Databricks
Greg Owen,Staff Software Engineer,Sigma Computing
Gregory Little,DCDAO for Enterprise Platforms and Business Optimization,DoD CFO Transformation Office
Hannes Mühleisen,Co-Founder and CEO,DuckDB Labs
Hao Zhu,Senior Manager,NVIDIA
Hari Rajaram,Sr Director / Principal Data Architect,Procore
Harrison Chase,CEO,LangChain
Harsh Mishra,Lead Enterprise Architect,Australian Rail Track Corporation
Heiko Udluft,Chief Technology Officer,"Divirod, Inc."
Himanshu Raja,"Sr Manager, Product Management, Databricks",Databricks
Himanshu Arora,Resident Solutions Architect,Databricks
Hitesh Sahni,Head of Cloud Data Platforms and Data Engineering Solutions,Deutsche Post DHL
Holly Smith,Senior Resident Solutions Architect,Databricks
Huaxin Gao,Software Engineer,Apple
Hugh Burgin,"Principal, Data & AI Leader",EY
Hyukjin Kwon,Staff Software Engineer,Databricks
Ian Galloway,"Senior Director, Applications",Collins Aerospace
Ian Sotnek,Director of Product,"AI Squared, Inc"
Ifigeneia Derekli,Field Engineering Manager & Unity Catalog Specialist,Databricks
Ioannis Papadopoulos,Cloud Technologist,Databricks
Itai Weiss,Principal partner SA,Databricks
Itai Yaffe,Senior Big Data Architect,Akamai
Ivan Peng,Software Engineer,DoorDash
Jacek Laskowski,IT Freelancer,japila.pl
Jackie Brosamer,Director of Software Engineering,Block
Jacob Renn,Chief Technologist,"AI Squared, Inc"
Jacolon Walker,Co-founder & CTO,Monad
Jaison Dominic,Senior Manager Information Systems,Amgen
Jakob Mund,Sr. Product Manager,Databricks
James Demmel,Dr. Richard Carl Dehmel Distinguished Professor,"University of California, Berkeley"
Jamie Baker,Director of Product,Matillion
Jan Neumann,"VP, Machine Learning",Comcast
Janet Cinfio,Chief Information Officer,Acxiom
Janine Pratt,"General Manager, Healthcare & Medical Devices",Wipro Technologies
Jason Xu,Senior Software Engineer,Airbnb
Jason Shiverick,Data Platform Manager,Rivian
Jay Yang,Principal Data Engineer,Procore
Jay Bhankharia,"Senior Director, Data Partnerships",Databricks
Jaylyn Stoesz,Staff Data Engineer,Ibotta
Jeff Mroz,Technical SME for Cloud and Big Data,Woolpert / US Army Corps of Engineers
Jeff Breeding-Allison,Senior Data Scientist,Mars Petcare
Jeffrey Parkinson,"VP, Core Data Engineering",Northwestern Mutual
Jeffrey Hess,Lead Technologist,Booz Allen Hamilton
Jeffrey Chou,"Co-Founder, CEO",Sync Computing
Jegadeesan Pugazhenthi,Lead Big Data Engineer,AT&T
Jennifer Swanson,Deputy Assistant Secretary of the Army (Data - Engineering - Software),The United States Army
Jeremy Lewallen,Product Manager,Databricks
Jiajun Yao,Software Engineer,Anyscale
Jibreal Hamenoo,Senior DevOps Engineer,Corning Incorporated
Jim Thorstad,Solutions Architect,Databricks
Jim O'Connor,Senior Vice President,Databricks
Jitendra Malik,"Computer Vision Pioneer, Former Head of Facebook AI Research",University of California at Berkeley
Joanna Gurry,"Executive, Data Delivery",National Australia Bank (NAB)
Joe Walsh,Director of Measurement & Attribution,Effectv
John Kutay,Director of Product Management,Striim
John Thompson,"Global Head, Artificial Intelligence",EY
John Derrico,"VP, Data Strategy",Mastercard
John Roussel,CIO,California Department of Public Health (CDPH)
Jojy Matthew,Principal,Deloitte
Jon Osborn,Field CTO,Ascend.io
Jonathan Keller,"Sr. Director, Product Management",Databricks
Jonathan Hollander,"VP, Enterprise Data Technology Platforms",TD Bank
Jordan Donmoyer,"Manager, Customer Data Solutions",The Hershey Company
Jordan Peck,Principal Technical Account Manager,Snowplow
Jose L Sanchez Ros,Head of Data Solution Architecture,Zurich Insurance
Joseph D'Auria,Director Data & Analytics,Department of Veterans Affairs
Joseph Sarsfield,Machine Learning Engineer,Marks & Spencer
Joseph Bradley,Lead Product Specialist,Databricks
Jude Boyle,VP Public Sector,Databricks
Jules Damji,Lead Developer Advocate,Anyscale
Julie Ferris,"Vice President, Advanced Analytics",Definitive Healthcare
Julien Le Dem,Chief Architect,Astronomer
Jun Rong Lau,Data Engineer/Analyst,GrabTaxi Holding Pte Ltd
Junta Nakai,Global VP - Financial Services GTM,Databricks
Justin DeBrabant,SVP of Product,ActionIQ
Justin Lai,Distinguished Data Architect,BlackBerry
Justin Thompson,"Director, IT Data and Analytics",JetBlue
Justin Breese,Staff Product Manager,Databricks
Kannan Alagappan,Senior Vice President and Chief Technology Officer,DISH Network
Karl Albertsen,Head of Generative AI Model Hub,Amazon Web Services
Karthik Ramasamy,Head of Streaming,Databricks
Kasey Uhlenhuth,Staff Product Manager,Databricks
Keith Anderson,Solution Principal,Hitachi Solutions
Kelly Albano,Product Marketing Manager,Databricks
Ken Priyadarshi,Global Tax Prompt Engineering Leader,EY
Keshav Santhanam,PhD Student,Stanford University
Keyuri Shah,Lead Software Engineer,Northwestern Mutual Insurance
Kieran Taylor,Senior Software Engineer II,Instacart
Kori O'Brien,,Databricks
Krishti Bikal,Senior Executive - Director BI & Analytics,Emerald
Kristen Odonnell,Federal Director - National Security,Databricks
Kyle Hale,Product Specialist,Databricks
Kylie Taylor,Data Scientist,Mars Petcare
Lakhan Prajapati,Director of Architecture and Engineering,ZS associates
Lakshmi Jagannathan,Head of Databricks CoE,EPAM UK
Larry Feinsmith,"Head of Global Tech Strategy, Innovation and Partnerships",JP Morgan Chase & Co.
Lauren Schwartz,Vice President of Enterprise Sales,Fivetran
Layla Yang,"Industry Vertical Lead SA - Communications, Media & Entertainment",Databricks
Lee Yang,Sr. Principal SW Engineer,NVIDIA
Leo Duncan,Sr. Solutions Architect,Kyvos Insights Inc.
Leon Eller,Sr Solutions Architect,Databricks
Lewis Mbae,Head of Customer Engineering,RudderStack
Lin Qiao,"Former Head of PyTorch, Co-founder and CEO",Fireworks
Lindsay Mico,Head of Data Science,Providence Health
Lindsey Woodland,Group Vice President of Client Data Science,605
Lior Gavish,CTO and Co-founder,Monte Carlo Data
Liping Huang,Senior Solutions Architect,Databricks
Lisa Berke,"AVP, Technology Data Management",Nationwide
Lorenzo De Tomasi,"AI, Data and Platforms Engineering Manager at Barilla",Barilla
Luk Verhelst,Data Architect,Volvo Group (consultant)
Luke Pritchard,"Managing Director, Databricks Data Leader",EY
Maarten Peschier,"Vice President, Engineering, Data & Analytics",Kantar
MacGregor Winegard,Associate Data Engineer,KPMG
Maciej Szpakowski,Co-founder,Prophecy
Madalina Tanasie,Chief Technology Officer,Collibra
Madhan Venkatesan,Sr. Data Engineer,American Airlines
Maggie Davis,"Principal, Data Engineering",Slalom
Mahesh Prakriya,Director in Intelligence Platform,Microsoft
Malav Shah,Senior Data Scientist,DIRECTV
Manasa Natala,Data Architect,Ibotta
Manbir Paul,"VP of Engineering, Data Insights and MarTech",Sephora
Manu Sharma,CEO,Labelbox
Manu Bansal,,Lightup
Marc Andreessen,Co-Founder and General Partner,Andreessen Horowitz
Marcel Kramer,Head of Data Engineering,ABN AMRO Bank N.V
Maria Vechtomova,Lead ML Engineer,Ahold Delhaize
Marianna Cervino,Senior Data Scientist,Gucci
Marius Panga,Solutions Architect,Databricks
Mark Lee,Senior Specialist Solutions Architect,Databricks
Martin Grund,Senior Staff Software Engineer,Databricks
Mary Grace Moesta,Senior Data Scientist,Databricks
Mat Keep,"Senior Director, MongoDB Products Team",MongoDB
